company,ticker,Sector,Industry,revenue,gp,fcf,capex
AACI - ARMADA ACQUISITION CORP I,AACI,Financial Services,Shell Companies,0,0,-115339,0
AACT - ARES ACQUISITION CORP II,AACT,Financial Services,Shell Companies,0,0,-256903,0
ACAB - ATLANTIC COASTAL ACQUISITION CORP II,ACAB,Financial Services,Shell Companies,0,0,-1279559,0
ACAC - ACRI CAPITAL ACQUISITION CORP,ACAC,Financial Services,Shell Companies,0,0,-148303,0
ACBA - ACE GLOBAL BUSINESS ACQUISITION LTD,ACBA,Financial Services,Shell Companies,0,0,-405559,0
ADOC - EDOC ACQUISITION CORP,ADOC,Financial Services,Shell Companies,0,0,-122748,0
ADRT - AULT DISRUPTIVE TECHNOLOGIES CORP,ADRT,Financial Services,Shell Companies,0,0,-651298,0
AEAE - ALTENERGY ACQUISITION CORP,AEAE,Financial Services,Shell Companies,0,0,-467211,0
AIB - AIB ACQUISITION CORP,AIB,Financial Services,Shell Companies,0,0,-96752,0
AIMAU - AIMFINITY INVESTMENT CORP I,AIMAU,Financial Services,Shell Companies,0,0,334,0
ALCC - ALTC ACQUISITION CORP,ALCC,Financial Services,Shell Companies,0,0,-3457143,0
ALCY - ALCHEMY INVESTMENTS ACQUISITION CORP 1,ALCY,Financial Services,Shell Companies,0,0,-332622,0
ALSA - ALPHA STAR ACQUISITION CORP,ALSA,Financial Services,Shell Companies,0,0,-7500,0
ALTU - ALTITUDE ACQUISITION CORP,ALTU,Financial Services,Shell Companies,0,0,-81433,0
AOGO - AROGO CAPITAL ACQUISITION CORP,AOGO,Financial Services,Shell Companies,0,0,-107921,0
APAC - STONEBRIDGE ACQUISITION CORP,APAC,Financial Services,Shell Companies,0,0,233763,0
APCA - AP ACQUISITION CORP,APCA,Financial Services,Shell Companies,0,0,-93495,0
AQU - AQUARON ACQUISITION CORP,AQU,Financial Services,Shell Companies,0,0,-72228,0
ARIZ - ARISZ ACQUISITION CORP,ARIZ,Financial Services,Shell Companies,0,0,-74270,0
ARRW - ARROWROOT ACQUISITION CORP,ARRW,Financial Services,Shell Companies,0,0,-377123,0
ARYD - ARYA SCIENCES ACQUISITION CORP IV,ARYD,Financial Services,Shell Companies,0,0,-29225,0
ASCA - ASPAC I ACQUISITION CORP,ASCA,Financial Services,Shell Companies,0,0,-202815,0
ASCB - ASPAC II ACQUISITION CORP,ASCB,Financial Services,Shell Companies,0,0,-174985,0
ATEK - ATHENA TECHNOLOGY ACQUISITION CORP II,ATEK,Financial Services,Shell Companies,0,0,-92341,0
ATMC - ALPHATIME ACQUISITION CORP,ATMC,Financial Services,Shell Companies,0,0,-70054,0
ATMV - ALPHAVEST ACQUISITION CORP,ATMV,Financial Services,Shell Companies,0,0,-162956,0
AVHI - ACHARI VENTURES HOLDINGS CORP I,AVHI,Financial Services,Shell Companies,0,0,-332114,0
BACA - BERENSON ACQUISITION CORP I,BACA,Financial Services,Shell Companies,0,0,-153734,0
BCSA - BLOCKCHAIN COINVESTORS ACQUISITION CORP I,BCSA,Financial Services,Shell Companies,0,0,-178995,0
BFAC - BATTERY FUTURE ACQUISITION CORP,BFAC,Financial Services,Shell Companies,0,0,-287923,0
BHAC - FOCUS IMPACT BH3 ACQUISITION CO,BHAC,Financial Services,Shell Companies,0,0,-185297,0
BITE - BITE ACQUISITION CORP,BITE,Financial Services,Shell Companies,0,0,-222642,0
BLAC - BELLEVUE LIFE SCIENCES ACQUISITION CORP,BLAC,Financial Services,Shell Companies,0,0,-143226,0
BLEU - BLEUACACIA LTD,BLEU,Financial Services,Shell Companies,0,0,-20707,0
BLUA - BLUERIVER ACQUISITION CORP,BLUA,Financial Services,Shell Companies,0,0,-137596,0
BNIX - BANNIX ACQUISITION CORP,BNIX,Financial Services,Shell Companies,0,0,-154650,0
BOCN - BLUE OCEAN ACQUISITION CORP,BOCN,Financial Services,Shell Companies,0,0,-722906,0
BOWN - BOWEN ACQUISITION CORP,BOWN,Financial Services,Shell Companies,0,0,-217870,0
BRAC - BROAD CAPITAL ACQUISITION CORP,BRAC,Financial Services,Shell Companies,0,0,-283277,0
BREZ - BREEZE HOLDINGS ACQUISITION CORP,BREZ,Financial Services,Shell Companies,0,0,-283052,0
BRKH - BURTECH ACQUISITION CORP,BRKH,Financial Services,Shell Companies,0,0,-1267570,0
